whonet_code,organism_name,snomed_code,kingdom,genus,species
AECPYO,Aerococcus,9008009,Bacteria,Aerococcus,
AECSAN,Aerococcus,9008009,Bacteria,Aerococcus,
AECSPP,Aerococcus,9008009,Bacteria,Aerococcus,
AEROCO,Aerococcus,9008009,Bacteria,Aerococcus,
AESSPP,Aerococcus,9008009,Bacteria,Aerococcus,
AERSAN,Aerococcus sanguinicola,427222006,Bacteria,Aerococcus,sanguinicola
AES,Aerococcus sanguinicola,427222006,Bacteria,Aerococcus,sanguinicola
AESSAN,Aerococcus sanguinicola,427222006,Bacteria,Aerococcus,sanguinicola
AECURI,Aerococcus urinae,782947009,Bacteria,Aerococcus,urinae
AECURI,Aerococcus urinae,243230001,Bacteria,Aerococcus,urinae
AERURI,Aerococcus urinae,782947009,Bacteria,Aerococcus,urinae
AERURI,Aerococcus urinae,243230001,Bacteria,Aerococcus,urinae
AESURI,Aerococcus urinae,782947009,Bacteria,Aerococcus,urinae
AESURI,Aerococcus urinae,243230001,Bacteria,Aerococcus,urinae
AUN,Aerococcus urinae,782947009,Bacteria,Aerococcus,urinae
AUN,Aerococcus urinae,243230001,Bacteria,Aerococcus,urinae
A.VIR,Aerococcus viridans,78803006,Bacteria,Aerococcus,viridans
AECVIR,Aerococcus viridans,78803006,Bacteria,Aerococcus,viridans
AERVIR,Aerococcus viridans,78803006,Bacteria,Aerococcus,viridans
AESVIR,Aerococcus viridans,78803006,Bacteria,Aerococcus,viridans
AVH,Aerococcus viridans,78803006,Bacteria,Aerococcus,viridans
AVI,Aerococcus viridans,78803006,Bacteria,Aerococcus,viridans
AMI.SP,Aeromicrobium,114083004,Bacteria,Aeromicrobium,
A.FAS,Aeromicrobium fastidiosum,114085006,Bacteria,Aeromicrobium,fastidiosum
3050,Aeromonas,88529008,Bacteria,Aeromonas,
AEM,Aeromonas,88529008,Bacteria,Aeromonas,
AEM.SP,Aeromonas,88529008,Bacteria,Aeromonas,
AEMSPP,Aeromonas,88529008,Bacteria,Aeromonas,
AER,Aeromonas,88529008,Bacteria,Aeromonas,
AERMOL,Aeromonas,88529008,Bacteria,Aeromonas,
AERSPP,Aeromonas,88529008,Bacteria,Aeromonas,
3053,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
A.CAV,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
ACV,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
AEMCAV,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
AEMLSP,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
AERCAV,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
AERPUN,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
APN,Aeromonas caviae,115036005,Bacteria,Aeromonas,caviae
3051,Aeromonas hydrophila,85823000,Bacteria,Aeromonas,hydrophila
AEH,Aeromonas hydrophila,85823000,Bacteria,Aeromonas,hydrophila
AEMHYD,Aeromonas hydrophila,85823000,Bacteria,Aeromonas,hydrophila
AERHYD,Aeromonas hydrophila,85823000,Bacteria,Aeromonas,hydrophila
AEMICH,Aeromonas ichthiosmia,115033002,Bacteria,Aeromonas,ichthiosmia
AEMMED,Aeromonas media,65192005,Bacteria,Aeromonas,media
AERMED,Aeromonas media,65192005,Bacteria,Aeromonas,media
AMD,Aeromonas media,65192005,Bacteria,Aeromonas,media
A.SCH,Aeromonas schubertii,115039003,Bacteria,Aeromonas,schubertii
AEMSHU,Aeromonas schubertii,115039003,Bacteria,Aeromonas,schubertii
ASH,Aeromonas schubertii,115039003,Bacteria,Aeromonas,schubertii
AEMSAL,Aeromonas salmonicida,30334005,Bacteria,Aeromonas,salmonicida
AEMSAL,Aeromonas salmonicida,416266002,Bacteria,Aeromonas,salmonicida
AERSAL,Aeromonas salmonicida,30334005,Bacteria,Aeromonas,salmonicida
AERSAL,Aeromonas salmonicida,416266002,Bacteria,Aeromonas,salmonicida
ASA,Aeromonas salmonicida,30334005,Bacteria,Aeromonas,salmonicida
ASA,Aeromonas salmonicida,416266002,Bacteria,Aeromonas,salmonicida
A.SAL,Aeromonas salmonicida salmonicida,62520007,Bacteria,Aeromonas,salmonicida
3052,Aeromonas sobria,43731003,Bacteria,Aeromonas,sobria
A.SOB,Aeromonas sobria,43731003,Bacteria,Aeromonas,sobria
AEMSOB,Aeromonas sobria,43731003,Bacteria,Aeromonas,sobria
AERSOB,Aeromonas sobria,43731003,Bacteria,Aeromonas,sobria
ASO,Aeromonas sobria,43731003,Bacteria,Aeromonas,sobria
A.VER,Aeromonas veronii,9281006,Bacteria,Aeromonas,veronii
AEMVER,Aeromonas veronii,9281006,Bacteria,Aeromonas,veronii
